,Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year,Unit,Value,Flag,Flag Description,Note
63,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1962,1000 No,29353.433,X,Figure from international organizations,nan
64,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1962,1000 No,5330.732,X,Figure from international organizations,nan
65,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1963,1000 No,35526.727,X,Figure from international organizations,nan
66,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1963,1000 No,17473.324,X,Figure from international organizations,nan
67,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1963,1000 No,18053.403,X,Figure from international organizations,nan
68,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1963,1000 No,30108.893,X,Figure from international organizations,nan
69,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1963,1000 No,5613.198,X,Figure from international organizations,nan
70,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1964,1000 No,36509.166,X,Figure from international organizations,nan
71,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1964,1000 No,17954.365,X,Figure from international organizations,nan
72,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1964,1000 No,18554.801,X,Figure from international organizations,nan
73,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1964,1000 No,30872.334,X,Figure from international organizations,nan
74,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1964,1000 No,5908.651,X,Figure from international organizations,nan
75,OA,Annual population,237,Viet Nam,511,Total Population - Both sexes,3010,Population - Est. & Proj.,1965,1000 No,37466.077,X,Figure from international organizations,nan
76,OA,Annual population,237,Viet Nam,512,Total Population - Male,3010,Population - Est. & Proj.,1965,1000 No,18421.131,X,Figure from international organizations,nan
77,OA,Annual population,237,Viet Nam,513,Total Population - Female,3010,Population - Est. & Proj.,1965,1000 No,19044.946,X,Figure from international organizations,nan
78,OA,Annual population,237,Viet Nam,551,Rural population,3010,Population - Est. & Proj.,1965,1000 No,31643.158,X,Figure from international organizations,nan
79,OA,Annual population,237,Viet Nam,561,Urban population,3010,Population - Est. & Proj.,1965,1000 No,6216.854,X,Figure from international organizations,nan
