,Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
45,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1976,1976,ha,700,E,Estimated value,
46,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1976,1976,100 g/ha,6429,E,Estimated value,
47,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1976,1976,t,450,E,Estimated value,
48,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1977,1977,ha,500,E,Estimated value,
49,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1977,1977,100 g/ha,6400,E,Estimated value,
50,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1977,1977,t,320,E,Estimated value,
51,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1978,1978,ha,500,E,Estimated value,
52,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1978,1978,100 g/ha,6000,E,Estimated value,
53,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1978,1978,t,300,E,Estimated value,
54,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1979,1979,ha,500,E,Estimated value,
55,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1979,1979,100 g/ha,6600,E,Estimated value,
56,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1979,1979,t,330,E,Estimated value,
57,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1980,1980,ha,500,E,Estimated value,
58,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1980,1980,100 g/ha,7000,E,Estimated value,
59,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1980,1980,t,350,E,Estimated value,
60,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1981,1981,ha,500,E,Estimated value,
61,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1981,1981,100 g/ha,7400,E,Estimated value,
62,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1981,1981,t,370,E,Estimated value,
63,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1982,1982,ha,700,E,Estimated value,
64,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1982,1982,100 g/ha,5714,E,Estimated value,
65,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1982,1982,t,400,E,Estimated value,
66,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1983,1983,ha,700,E,Estimated value,
67,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1983,1983,100 g/ha,6429,E,Estimated value,
68,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1983,1983,t,450,E,Estimated value,
69,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1984,1984,ha,700,E,Estimated value,
70,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1984,1984,100 g/ha,6714,E,Estimated value,
71,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1984,1984,t,470,E,Estimated value,
72,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1985,1985,ha,700,E,Estimated value,
73,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1985,1985,100 g/ha,7143,E,Estimated value,
74,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1985,1985,t,500,E,Estimated value,
75,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1986,1986,ha,1600,E,Estimated value,
76,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1986,1986,100 g/ha,6250,E,Estimated value,
77,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1986,1986,t,1000,E,Estimated value,
78,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1987,1987,ha,1600,E,Estimated value,
79,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1987,1987,100 g/ha,8438,E,Estimated value,
80,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1987,1987,t,1350,E,Estimated value,
81,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1988,1988,ha,1300,E,Estimated value,
82,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1988,1988,100 g/ha,7692,E,Estimated value,
83,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1988,1988,t,1000,E,Estimated value,
84,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1989,1989,ha,1500,E,Estimated value,
85,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1989,1989,100 g/ha,8000,E,Estimated value,
86,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1989,1989,t,1200,E,Estimated value,
87,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1990,1990,ha,1300,E,Estimated value,
88,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1990,1990,100 g/ha,7692,E,Estimated value,
89,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1990,1990,t,1000,E,Estimated value,
90,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1991,1991,ha,1316,I,Imputed value,
91,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1991,1991,100 g/ha,7890,E,Estimated value,
92,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1991,1991,t,1038.54,I,Imputed value,
93,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1992,1992,ha,1500,E,Estimated value,
94,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1992,1992,100 g/ha,8000,E,Estimated value,
95,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1992,1992,t,1200,E,Estimated value,
96,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1993,1993,ha,1600,E,Estimated value,
97,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1993,1993,100 g/ha,8125,E,Estimated value,
98,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1993,1993,t,1300,E,Estimated value,
99,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1994,1994,ha,1300,E,Estimated value,
100,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1994,1994,100 g/ha,7692,E,Estimated value,
101,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1994,1994,t,1000,E,Estimated value,
102,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1995,1995,ha,1500,E,Estimated value,
103,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1995,1995,100 g/ha,8000,E,Estimated value,
104,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1995,1995,t,1200,E,Estimated value,
105,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1996,1996,ha,2500,E,Estimated value,
106,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1996,1996,100 g/ha,8000,E,Estimated value,
107,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1996,1996,t,2000,E,Estimated value,
108,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1997,1997,ha,2900,E,Estimated value,
109,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1997,1997,100 g/ha,7586,E,Estimated value,
110,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1997,1997,t,2200,E,Estimated value,
111,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1998,1998,ha,4000,E,Estimated value,
112,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1998,1998,100 g/ha,7500,E,Estimated value,
113,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1998,1998,t,3000,E,Estimated value,
114,QCL,Crops and livestock products,237,Viet Nam,5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1999,1999,ha,3990,I,Imputed value,
115,QCL,Crops and livestock products,237,Viet Nam,5419,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1999,1999,100 g/ha,7524,E,Estimated value,
116,QCL,Crops and livestock products,237,Viet Nam,5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1999,1999,t,3001.99,I,Imputed value,
