,ma_xa,nam_quan_ly,tong_ds,tong_dien_tich,grdp_bq_theo_gia_hh,pn_15_49,tuoi_tho_bq
09841-2019,09841,2019,13337,,,3286,
09844-2019,09844,2019,10608,,,2661,
09847-2019,09847,2019,12812,,,3307,
09850-2019,09850,2019,17351,,,4415,
09853-2019,09853,2019,16493,,,4380,
09856-2019,09856,2019,11057,,,2638,
09859-2019,09859,2019,10132,,,2460,
09862-2019,09862,2019,14122,,,3575,
09865-2019,09865,2019,4865,,,1220,
09868-2019,09868,2019,7715,,,1808,
09871-2019,09871,2019,6991,,,1790,
09874-2019,09874,2019,13337,,,3376,
09877-2019,09877,2019,41006,,,11256,
09880-2019,09880,2019,16829,,,4071,
09883-2019,09883,2019,14099,,,3548,
09886-2019,09886,2019,32252,,,8811,
09889-2019,09889,2019,11856,,,3017,
09892-2019,09892,2019,12753,,,3083,
09895-2019,09895,2019,14422,,,3486,
09898-2019,09898,2019,20149,,,4952,
09901-2019,09901,2019,6374,,,1523,
09904-2019,09904,2019,7775,,,1876,
09907-2019,09907,2019,9027,,,2245,
09910-2019,09910,2019,12027,,,2883,
09913-2019,09913,2019,5624,,,1337,
09916-2019,09916,2019,7097,,,1751,
09919-2019,09919,2019,15288,,,3722,
09922-2019,09922,2019,8503,,,2165,
09925-2019,09925,2019,7163,,,1725,
09928-2019,09928,2019,7278,,,1867,
09931-2019,09931,2019,7480,,,1966,
09934-2019,09934,2019,5880,,,1441,
09937-2019,09937,2019,6586,,,1606,
09940-2019,09940,2019,2332,,,624,
09943-2019,09943,2019,10643,,,2553,
09946-2019,09946,2019,8198,,,2088,
09949-2019,09949,2019,13691,,,3400,
09952-2019,09952,2019,13131,,,3161,
09955-2019,09955,2019,6547,,,1593,
09958-2019,09958,2019,10293,,,2563,
09961-2019,09961,2019,5243,,,1294,
09964-2019,09964,2019,10005,,,2431,
09967-2019,09967,2019,9772,,,2336,
09970-2019,09970,2019,8475,,,1921,
09973-2019,09973,2019,14897,,,3728,
09976-2019,09976,2019,8768,,,2075,
09979-2019,09979,2019,7675,,,1887,
09982-2019,09982,2019,12210,,,3045,
09985-2019,09985,2019,10024,,,2432,
09988-2019,09988,2019,9539,,,2406,
09991-2019,09991,2019,9798,,,2243,
09994-2019,09994,2019,17477,,,4286,
09997-2019,09997,2019,13052,,,3180,
10000-2019,10000,2019,5750,,,1390,
10003-2019,10003,2019,7557,,,1791,
10006-2019,10006,2019,13170,,,3254,
10009-2019,10009,2019,7228,,,1720,
10012-2019,10012,2019,7326,,,1837,
10015-2019,10015,2019,14036,,,3418,
10018-2019,10018,2019,21024,,,5332,
10021-2019,10021,2019,12282,,,3015,
10024-2019,10024,2019,16745,,,3983,
10027-2019,10027,2019,10802,,,2627,
10030-2019,10030,2019,11687,,,2886,
10033-2019,10033,2019,11958,,,3020,
10039-2019,10039,2019,11953,,,3000,
10042-2019,10042,2019,9145,,,2228,
10045-2019,10045,2019,18803,,,4596,
10048-2019,10048,2019,7411,,,1778,
10051-2019,10051,2019,11399,,,2879,
10054-2019,10054,2019,6517,,,1529,
10057-2019,10057,2019,9614,,,2282,
10060-2019,10060,2019,14761,,,3452,
10063-2019,10063,2019,11688,,,2792,
10066-2019,10066,2019,11381,,,2813,
10069-2019,10069,2019,10146,,,2477,
10072-2019,10072,2019,7090,,,1660,
10075-2019,10075,2019,12508,,,2944,
10078-2019,10078,2019,10917,,,2602,
10081-2019,10081,2019,9508,,,2232,
10084-2019,10084,2019,12009,,,2834,
10087-2019,10087,2019,8344,,,1984,
10090-2019,10090,2019,6794,,,1535,
10093-2019,10093,2019,4585,,,1009,
10096-2019,10096,2019,6156,,,1459,
10099-2019,10099,2019,9546,,,2227,
10102-2019,10102,2019,9029,,,2147,
10105-2019,10105,2019,5447,,,1196,
10108-2019,10108,2019,7124,,,1701,
10111-2019,10111,2019,4644,,,1090,
10114-2019,10114,2019,7065,,,1671,
10117-2019,10117,2019,16357,,,3997,
10120-2019,10120,2019,16483,,,4586,
10123-2019,10123,2019,8349,,,2066,
10126-2019,10126,2019,10971,,,2729,
10129-2019,10129,2019,7122,,,1737,
10132-2019,10132,2019,19711,,,4779,
10135-2019,10135,2019,14433,,,3444,
10138-2019,10138,2019,12036,,,2826,
10141-2019,10141,2019,10674,,,2552,
10144-2019,10144,2019,8518,,,1997,
10147-2019,10147,2019,11053,,,2739,
10150-2019,10150,2019,6653,,,1569,
10153-2019,10153,2019,6424,,,1530,
10156-2019,10156,2019,3595,,,854,
10159-2019,10159,2019,5979,,,1415,
10162-2019,10162,2019,16420,,,3872,
10165-2019,10165,2019,7815,,,1828,
10168-2019,10168,2019,8514,,,1934,
10171-2019,10171,2019,7995,,,1890,
10174-2019,10174,2019,10940,,,2542,
10177-2019,10177,2019,5889,,,1370,
10180-2019,10180,2019,12033,,,2872,
10183-2019,10183,2019,5791,,,1457,
10186-2019,10186,2019,9949,,,2364,
10189-2019,10189,2019,7738,,,1884,
10192-2019,10192,2019,12033,,,2853,
10195-2019,10195,2019,11914,,,2897,
10198-2019,10198,2019,7094,,,1759,
10201-2019,10201,2019,11467,,,2757,
10204-2019,10204,2019,4809,,,1147,
10207-2019,10207,2019,6202,,,1571,
10210-2019,10210,2019,11308,,,2892,
10213-2019,10213,2019,8586,,,2173,
10216-2019,10216,2019,8146,,,2101,
10219-2019,10219,2019,9622,,,2262,
10222-2019,10222,2019,10256,,,2538,
10225-2019,10225,2019,10572,,,2527,
10228-2019,10228,2019,6483,,,1550,
10231-2019,10231,2019,9735,,,2346,
10234-2019,10234,2019,8375,,,2006,
10237-2019,10237,2019,5398,,,1246,
10240-2019,10240,2019,9244,,,2237,
10243-2019,10243,2019,8117,,,1962,
10246-2019,10246,2019,9576,,,2261,
10249-2019,10249,2019,8551,,,2011,
10252-2019,10252,2019,7234,,,1659,
10255-2019,10255,2019,6120,,,1442,
10258-2019,10258,2019,12380,,,3079,
10261-2019,10261,2019,9493,,,2354,
10264-2019,10264,2019,8106,,,2020,
10267-2019,10267,2019,9485,,,2256,
10270-2019,10270,2019,5310,,,1272,
10273-2019,10273,2019,11303,,,2616,
10276-2019,10276,2019,8632,,,2076,
10279-2019,10279,2019,9514,,,2252,
10282-2019,10282,2019,6007,,,1420,
10288-2019,10288,2019,4419,,,1022,
10291-2019,10291,2019,6538,,,1581,
10294-2019,10294,2019,9203,,,2266,
10297-2019,10297,2019,7323,,,1715,
10300-2019,10300,2019,7756,,,1787,
10303-2019,10303,2019,10407,,,2482,
10306-2019,10306,2019,4380,,,1050,
10309-2019,10309,2019,5379,,,1259,
10312-2019,10312,2019,6659,,,1591,
10315-2019,10315,2019,9609,,,2314,
10318-2019,10318,2019,5666,,,1383,
10321-2019,10321,2019,10114,,,2330,
10324-2019,10324,2019,8257,,,1890,
10327-2019,10327,2019,9235,,,2221,
10330-2019,10330,2019,5545,,,1295,
10333-2019,10333,2019,10024,,,2393,
10336-2019,10336,2019,8696,,,2015,
10339-2019,10339,2019,5583,,,1324,
10342-2019,10342,2019,6704,,,1503,
10345-2019,10345,2019,5377,,,1210,
10348-2019,10348,2019,10082,,,2232,
10351-2019,10351,2019,13263,,,3103,
10354-2019,10354,2019,14334,,,3376,
10357-2019,10357,2019,7150,,,1674,
10360-2019,10360,2019,4402,,,991,
10363-2019,10363,2019,7440,,,1727,
10366-2019,10366,2019,12435,,,2991,
10369-2019,10369,2019,7243,,,1737,
10372-2019,10372,2019,4080,,,870,
10375-2019,10375,2019,7127,,,1672,
10378-2019,10378,2019,6071,,,1357,
10381-2019,10381,2019,7722,,,1854,
10384-2019,10384,2019,13116,,,3129,
10387-2019,10387,2019,7769,,,1794,
10390-2019,10390,2019,6138,,,1530,
10393-2019,10393,2019,7044,,,1614,
10396-2019,10396,2019,10432,,,2470,
10399-2019,10399,2019,5663,,,1290,
10402-2019,10402,2019,6641,,,1542,
10405-2019,10405,2019,4327,,,944,
10408-2019,10408,2019,4731,,,1087,
10411-2019,10411,2019,7000,,,1657,
10414-2019,10414,2019,10971,,,2714,
10417-2019,10417,2019,7465,,,1767,
10420-2019,10420,2019,8305,,,1932,
10423-2019,10423,2019,5095,,,1228,
10426-2019,10426,2019,5879,,,1377,
10429-2019,10429,2019,5745,,,1349,
10432-2019,10432,2019,4737,,,1099,
10435-2019,10435,2019,5121,,,1285,
10438-2019,10438,2019,6290,,,1456,
10441-2019,10441,2019,8011,,,1918,
10444-2019,10444,2019,9456,,,2332,
10447-2019,10447,2019,6335,,,1481,
10450-2019,10450,2019,13648,,,3328,
10453-2019,10453,2019,8805,,,2157,
10456-2019,10456,2019,3763,,,877,
10459-2019,10459,2019,8133,,,1913,
10462-2019,10462,2019,5970,,,1324,
10465-2019,10465,2019,7967,,,1906,
10468-2019,10468,2019,12767,,,3086,
10471-2019,10471,2019,9557,,,2352,
10474-2019,10474,2019,8175,,,1967,
10477-2019,10477,2019,8127,,,1897,
10480-2019,10480,2019,7481,,,1784,
10483-2019,10483,2019,6797,,,1518,
10486-2019,10486,2019,4512,,,1117,
10489-2019,10489,2019,20767,,,5086,
10492-2019,10492,2019,7519,,,1795,
10495-2019,10495,2019,6838,,,1627,
10498-2019,10498,2019,14065,,,3408,
10501-2019,10501,2019,12152,,,2953,
10504-2019,10504,2019,8878,,,2215,
10507-2019,10507,2019,10816,,,2879,
10510-2019,10510,2019,19638,,,4866,
10513-2019,10513,2019,16845,,,4069,
10514-2019,10514,2019,7903,,,1986,
10516-2019,10516,2019,11474,,,2482,
10519-2019,10519,2019,8307,,,1915,
10522-2019,10522,2019,11285,,,2668,
10525-2019,10525,2019,4616,,,1029,
10528-2019,10528,2019,6088,,,1346,
10531-2019,10531,2019,21653,,,6683,
10532-2019,10532,2019,18518,,,4790,
10534-2019,10534,2019,8177,,,1882,
10537-2019,10537,2019,19869,,,4874,
10540-2019,10540,2019,15970,,,4630,
10543-2019,10543,2019,10001,,,2559,
10546-2019,10546,2019,18362,,,4399,
10549-2019,10549,2019,21626,,,5348,
10552-2019,10552,2019,5657,,,1392,
10555-2019,10555,2019,3084,,,821,
10558-2019,10558,2019,5481,,,1421,
10561-2019,10561,2019,5873,,,1450,
10564-2019,10564,2019,10181,,,2561,
10567-2019,10567,2019,6869,,,1704,
10570-2019,10570,2019,16282,,,3978,
10573-2019,10573,2019,7323,,,1756,
10576-2019,10576,2019,6346,,,1487,
10579-2019,10579,2019,10165,,,2500,
10582-2019,10582,2019,11627,,,2902,
10585-2019,10585,2019,9120,,,2200,
10588-2019,10588,2019,6784,,,1754,
10591-2019,10591,2019,3779,,,893,
10594-2019,10594,2019,5565,,,1245,
10600-2019,10600,2019,7701,,,1789,
10603-2019,10603,2019,8217,,,1933,
10606-2019,10606,2019,11928,,,2767,
10609-2019,10609,2019,5735,,,1316,
10612-2019,10612,2019,5019,,,1135,
10615-2019,10615,2019,7714,,,1814,
10618-2019,10618,2019,6759,,,1621,
10621-2019,10621,2019,5040,,,1162,
10624-2019,10624,2019,8036,,,1796,
10627-2019,10627,2019,4533,,,1018,
10630-2019,10630,2019,7823,,,1752,
10633-2019,10633,2019,5983,,,1423,
10636-2019,10636,2019,6001,,,1405,
10639-2019,10639,2019,9912,,,2220,
10642-2019,10642,2019,6316,,,1446,
10645-2019,10645,2019,7322,,,1702,
10648-2019,10648,2019,4203,,,966,
10651-2019,10651,2019,5515,,,1258,
10654-2019,10654,2019,5599,,,1301,
10657-2019,10657,2019,8014,,,1882,
10660-2019,10660,2019,12486,,,3523,
10663-2019,10663,2019,4471,,,1046,
10666-2019,10666,2019,4849,,,1119,
10672-2019,10672,2019,10077,,,2405,
10675-2019,10675,2019,8691,,,2139,
10678-2019,10678,2019,5494,,,1301,
10681-2019,10681,2019,7040,,,1565,
10684-2019,10684,2019,6750,,,1503,
10687-2019,10687,2019,3391,,,740,
10693-2019,10693,2019,4289,,,918,
10696-2019,10696,2019,6861,,,1508,
10699-2019,10699,2019,4534,,,1036,
10702-2019,10702,2019,13787,,,3240,
10705-2019,10705,2019,6224,,,1390,
10708-2019,10708,2019,6613,,,1463,
10714-2019,10714,2019,10233,,,2428,
10717-2019,10717,2019,6811,,,1493,
10720-2019,10720,2019,6589,,,1492,
10723-2019,10723,2019,5758,,,1349,
10726-2019,10726,2019,8223,,,1900,
10729-2019,10729,2019,6820,,,1579,
10732-2019,10732,2019,9620,,,2213,
10735-2019,10735,2019,6777,,,1572,
10738-2019,10738,2019,5559,,,1278,
10741-2019,10741,2019,7188,,,1668,
10744-2019,10744,2019,9293,,,2176,
10747-2019,10747,2019,8437,,,2002,
10750-2019,10750,2019,6215,,,1518,
10753-2019,10753,2019,6200,,,1713,
10756-2019,10756,2019,6054,,,1393,
10759-2019,10759,2019,6453,,,1509,
10762-2019,10762,2019,6138,,,1421,
10768-2019,10768,2019,8769,,,2103,
10771-2019,10771,2019,9601,,,2246,
10774-2019,10774,2019,4463,,,1080,
10777-2019,10777,2019,7682,,,1756,
10780-2019,10780,2019,7025,,,1644,
10783-2019,10783,2019,8026,,,1878,
10786-2019,10786,2019,9062,,,2134,
10792-2019,10792,2019,7467,,,1697,
10798-2019,10798,2019,4792,,,1126,
10801-2019,10801,2019,5919,,,1319,
10804-2019,10804,2019,6212,,,1464,
10807-2019,10807,2019,6526,,,1403,
10810-2019,10810,2019,8667,,,1932,
10813-2019,10813,2019,8367,,,1856,
10816-2019,10816,2019,9517,,,2192,
10819-2019,10819,2019,4728,,,1047,
10822-2019,10822,2019,9801,,,2264,
10825-2019,10825,2019,9447,,,2105,
10828-2019,10828,2019,7411,,,1661,
10831-2019,10831,2019,5337,,,1187,
10834-2019,10834,2019,6108,,,1378,
10837-2019,10837,2019,12153,,,2804,
10840-2019,10840,2019,6842,,,1615,
10843-2019,10843,2019,7157,,,1691,
10846-2019,10846,2019,12416,,,2900,
10849-2019,10849,2019,6121,,,1451,
10852-2019,10852,2019,4049,,,937,
10855-2019,10855,2019,4746,,,1098,
10861-2019,10861,2019,5000,,,1164,
10864-2019,10864,2019,7286,,,1639,
10867-2019,10867,2019,7520,,,1817,
10876-2019,10876,2019,4621,,,995,
10879-2019,10879,2019,7132,,,1546,
10882-2019,10882,2019,5207,,,1139,
10885-2019,10885,2019,4406,,,966,
10888-2019,10888,2019,2216,,,550,
10891-2019,10891,2019,14319,,,3529,
10894-2019,10894,2019,6734,,,1614,
10897-2019,10897,2019,8028,,,1916,
10900-2019,10900,2019,8471,,,2023,
10903-2019,10903,2019,9050,,,2196,
10906-2019,10906,2019,4179,,,1039,
10909-2019,10909,2019,8199,,,1905,
10912-2019,10912,2019,7442,,,1749,
10918-2019,10918,2019,7023,,,1635,
10924-2019,10924,2019,12096,,,2972,
10927-2019,10927,2019,8354,,,1994,
10930-2019,10930,2019,13135,,,3523,
10933-2019,10933,2019,10277,,,2819,
10936-2019,10936,2019,5285,,,1270,
10939-2019,10939,2019,7771,,,1978,
10942-2019,10942,2019,4709,,,1146,
10945-2019,10945,2019,4982,,,1147,
10951-2019,10951,2019,4490,,,1052,
10954-2019,10954,2019,5561,,,1284,
10960-2019,10960,2019,9503,,,2234,
10963-2019,10963,2019,6963,,,1641,
10966-2019,10966,2019,6696,,,1526,
10969-2019,10969,2019,7251,,,1593,
10972-2019,10972,2019,6111,,,1419,
10975-2019,10975,2019,4354,,,1023,
10978-2019,10978,2019,7042,,,1643,
10981-2019,10981,2019,9915,,,2306,
10984-2019,10984,2019,7102,,,1679,
10987-2019,10987,2019,7082,,,1718,
10990-2019,10990,2019,5627,,,1276,
10993-2019,10993,2019,7041,,,1641,
10996-2019,10996,2019,11109,,,2657,
10999-2019,10999,2019,14472,,,3416,
11002-2019,11002,2019,10481,,,2523,
11005-2019,11005,2019,10178,,,2423,
11008-2019,11008,2019,9130,,,2246,
11011-2019,11011,2019,8178,,,1990,
11017-2019,11017,2019,8446,,,2015,
11020-2019,11020,2019,7394,,,1689,
11029-2019,11029,2019,5262,,,1175,
11032-2019,11032,2019,4316,,,968,
11035-2019,11035,2019,6137,,,1366,
11038-2019,11038,2019,5339,,,1202,
11041-2019,11041,2019,6696,,,1541,
11044-2019,11044,2019,6772,,,1546,
11047-2019,11047,2019,7880,,,1786,
11050-2019,11050,2019,7571,,,1694,
11053-2019,11053,2019,5897,,,1319,
11056-2019,11056,2019,5896,,,1378,
11059-2019,11059,2019,6672,,,1452,
11062-2019,11062,2019,5583,,,1259,
11065-2019,11065,2019,6127,,,1451,
11068-2019,11068,2019,4406,,,956,
11071-2019,11071,2019,5378,,,1203,
11074-2019,11074,2019,7648,,,1831,
11077-2019,11077,2019,7366,,,1720,
11083-2019,11083,2019,6708,,,1583,
11086-2019,11086,2019,10840,,,2549,
11089-2019,11089,2019,4168,,,939,
11092-2019,11092,2019,5434,,,1227,
11095-2019,11095,2019,3568,,,811,
11098-2019,11098,2019,4083,,,980,
11101-2019,11101,2019,7129,,,1610,
11110-2019,11110,2019,5596,,,1287,
11113-2019,11113,2019,8931,,,2077,
11116-2019,11116,2019,6049,,,1368,
11119-2019,11119,2019,6858,,,1576,
11122-2019,11122,2019,4538,,,1017,
11125-2019,11125,2019,8357,,,1878,
11128-2019,11128,2019,10845,,,2505,
11131-2019,11131,2019,8528,,,1990,
11134-2019,11134,2019,8265,,,1886,
11137-2019,11137,2019,4398,,,999,
11140-2019,11140,2019,5970,,,1512,
11143-2019,11143,2019,6614,,,1427,
11146-2019,11146,2019,10195,,,2319,
11149-2019,11149,2019,8131,,,1911,
11152-2019,11152,2019,5715,,,1256,
11155-2019,11155,2019,6224,,,1293,
11161-2019,11161,2019,6235,,,1501,
11164-2019,11164,2019,10010,,,2396,
11167-2019,11167,2019,6126,,,1324,
11173-2019,11173,2019,4476,,,982,
11176-2019,11176,2019,3617,,,787,
11179-2019,11179,2019,8860,,,2158,
11185-2019,11185,2019,7021,,,1581,
11188-2019,11188,2019,4900,,,1106,
11197-2019,11197,2019,8213,,,1823,
11200-2019,11200,2019,6361,,,1490,
11203-2019,11203,2019,6002,,,1411,
11206-2019,11206,2019,3615,,,779,
11209-2019,11209,2019,6517,,,1371,
11215-2019,11215,2019,3259,,,701,
11218-2019,11218,2019,4296,,,1019,
11224-2019,11224,2019,6520,,,1440,
11227-2019,11227,2019,5644,,,1221,
11230-2019,11230,2019,4630,,,1062,
11233-2019,11233,2019,3454,,,776,
11239-2019,11239,2019,9799,,,2317,
11242-2019,11242,2019,6127,,,1399,
11245-2019,11245,2019,7584,,,1705,
11248-2019,11248,2019,8435,,,1951,
11251-2019,11251,2019,8368,,,1948,
11254-2019,11254,2019,8946,,,2064,
11257-2019,11257,2019,7637,,,1692,
11260-2019,11260,2019,7261,,,1651,
11263-2019,11263,2019,7482,,,1694,
11266-2019,11266,2019,7413,,,1669,
11269-2019,11269,2019,11433,,,2740,
11275-2019,11275,2019,8863,,,2097,
11278-2019,11278,2019,6015,,,1400,
11281-2019,11281,2019,7476,,,1727,
11284-2019,11284,2019,5191,,,1113,
11287-2019,11287,2019,7982,,,1800,
11293-2019,11293,2019,4707,,,1048,
11296-2019,11296,2019,11380,,,2917,
11299-2019,11299,2019,14188,,,3567,
11302-2019,11302,2019,16655,,,4013,
11305-2019,11305,2019,13380,,,3091,
11308-2019,11308,2019,12135,,,2843,
11311-2019,11311,2019,4901,,,1128,
11314-2019,11314,2019,10141,,,2487,
11320-2019,11320,2019,3139,,,698,
11323-2019,11323,2019,3777,,,785,
11329-2019,11329,2019,20260,,,5123,
11332-2019,11332,2019,11433,,,2622,
11335-2019,11335,2019,20084,,,4995,
11338-2019,11338,2019,16151,,,3931,
11341-2019,11341,2019,9664,,,2251,
11347-2019,11347,2019,9849,,,2220,
11350-2019,11350,2019,21459,,,5717,
11353-2019,11353,2019,5286,,,1169,
11356-2019,11356,2019,7620,,,1728,
11359-2019,11359,2019,23072,,,6198,
11362-2019,11362,2019,8329,,,2000,
11365-2019,11365,2019,6103,,,1513,
11368-2019,11368,2019,7644,,,1730,
11371-2019,11371,2019,9216,,,2073,
11374-2019,11374,2019,11207,,,2598,
11377-2019,11377,2019,9582,,,2300,
11380-2019,11380,2019,10510,,,2434,
11383-2019,11383,2019,12552,,,2973,
11386-2019,11386,2019,7988,,,1796,
11389-2019,11389,2019,10966,,,2559,
11392-2019,11392,2019,14479,,,3446,
11395-2019,11395,2019,11941,,,2832,
11398-2019,11398,2019,14010,,,3483,
11401-2019,11401,2019,15504,,,3778,
11404-2019,11404,2019,32638,,,8417,
11405-2019,11405,2019,15827,,,4180,
11407-2019,11407,2019,32711,,,8437,
11410-2019,11410,2019,25199,,,6486,
11411-2019,11411,2019,11561,,,2902,
11413-2019,11413,2019,25721,,,6683,
11414-2019,11414,2019,15484,,,3982,
11416-2019,11416,2019,19747,,,5092,
11419-2019,11419,2019,9930,,,2435,
11422-2019,11422,2019,14350,,,3488,
11425-2019,11425,2019,10425,,,2587,
11428-2019,11428,2019,9860,,,2552,
11429-2019,11429,2019,15754,,,4130,
11431-2019,11431,2019,11903,,,3183,
11434-2019,11434,2019,11267,,,2825,
11437-2019,11437,2019,11030,,,2763,
11440-2019,11440,2019,7951,,,2116,
11443-2019,11443,2019,13935,,,3960,
11446-2019,11446,2019,14627,,,3606,
11449-2019,11449,2019,9393,,,2345,
11452-2019,11452,2019,9839,,,2365,
11455-2019,11455,2019,6435,,,1469,
11458-2019,11458,2019,8366,,,1838,
11461-2019,11461,2019,4043,,,962,
11465-2019,11465,2019,6460,,,1590,
11467-2019,11467,2019,9606,,,2225,
11470-2019,11470,2019,5024,,,1221,
11473-2019,11473,2019,11638,,,2793,
11476-2019,11476,2019,10268,,,2576,
11479-2019,11479,2019,6263,,,1498,
11482-2019,11482,2019,10034,,,2395,
11485-2019,11485,2019,10867,,,2478,
11488-2019,11488,2019,11511,,,2700,
11491-2019,11491,2019,2709,,,653,
11494-2019,11494,2019,3594,,,840,
11497-2019,11497,2019,5336,,,1282,
11500-2019,11500,2019,10980,,,2495,
11503-2019,11503,2019,5791,,,1291,
11506-2019,11506,2019,9296,,,2161,
11509-2019,11509,2019,9913,,,2393,
11512-2019,11512,2019,10524,,,2542,
11515-2019,11515,2019,8022,,,1846,
11518-2019,11518,2019,9929,,,2252,
11521-2019,11521,2019,6510,,,1488,
11524-2019,11524,2019,6716,,,1554,
11527-2019,11527,2019,12526,,,2974,
11530-2019,11530,2019,6075,,,1452,
11533-2019,11533,2019,14207,,,3500,
11536-2019,11536,2019,10615,,,2601,
11539-2019,11539,2019,12320,,,2971,
11542-2019,11542,2019,6978,,,1578,
11545-2019,11545,2019,7000,,,1606,
11548-2019,11548,2019,7221,,,1625,
11551-2019,11551,2019,12149,,,2894,
11554-2019,11554,2019,11855,,,2771,
11557-2019,11557,2019,11504,,,2873,
11560-2019,11560,2019,8411,,,2100,
11563-2019,11563,2019,12648,,,2958,
11566-2019,11566,2019,7880,,,1824,
11569-2019,11569,2019,5636,,,1339,
11572-2019,11572,2019,10935,,,2613,
11575-2019,11575,2019,11573,,,2956,
11578-2019,11578,2019,8608,,,2131,
11581-2019,11581,2019,8291,,,2015,
11584-2019,11584,2019,10622,,,2602,
11587-2019,11587,2019,17151,,,4096,
11590-2019,11590,2019,11590,,,2704,
11593-2019,11593,2019,12847,,,3162,
11596-2019,11596,2019,10342,,,2562,
11599-2019,11599,2019,11642,,,2915,
11602-2019,11602,2019,11544,,,2834,
11605-2019,11605,2019,8613,,,2062,
11608-2019,11608,2019,11112,,,2808,
11611-2019,11611,2019,6613,,,1600,
11614-2019,11614,2019,8720,,,2067,
11617-2019,11617,2019,11865,,,2910,
11620-2019,11620,2019,7827,,,1759,
11623-2019,11623,2019,35180,,,8871,
11626-2019,11626,2019,11479,,,2805,
11629-2019,11629,2019,4848,,,1148,
11632-2019,11632,2019,10674,,,2522,
11635-2019,11635,2019,9695,,,2226,
11638-2019,11638,2019,5553,,,1295,
11641-2019,11641,2019,9024,,,2111,
11644-2019,11644,2019,6644,,,1562,
11647-2019,11647,2019,8947,,,2099,
11650-2019,11650,2019,10260,,,2341,
11653-2019,11653,2019,8870,,,2058,
11656-2019,11656,2019,8371,,,1953,
11659-2019,11659,2019,7431,,,1632,
11662-2019,11662,2019,13066,,,3087,
11665-2019,11665,2019,7988,,,1809,
11668-2019,11668,2019,12601,,,2859,
11671-2019,11671,2019,6951,,,1589,
11674-2019,11674,2019,6299,,,1422,
11677-2019,11677,2019,9315,,,2199,
11680-2019,11680,2019,3602,,,816,
11683-2019,11683,2019,10502,,,2512,
11686-2019,11686,2019,13097,,,3345,
11689-2019,11689,2019,10809,,,2824,
11692-2019,11692,2019,7032,,,1969,
11695-2019,11695,2019,7375,,,1724,
11698-2019,11698,2019,8432,,,1961,
11701-2019,11701,2019,9155,,,2154,
11704-2019,11704,2019,7275,,,1604,
11707-2019,11707,2019,13569,,,3278,
11710-2019,11710,2019,6902,,,1602,
11713-2019,11713,2019,9784,,,2363,
11716-2019,11716,2019,4887,,,1144,
11719-2019,11719,2019,5401,,,1308,
11722-2019,11722,2019,6528,,,1553,
11725-2019,11725,2019,8600,,,1968,
11728-2019,11728,2019,7431,,,1751,
11731-2019,11731,2019,8325,,,1899,
11734-2019,11734,2019,7180,,,1715,
11737-2019,11737,2019,8353,,,2104,
11740-2019,11740,2019,4782,,,1189,
11743-2019,11743,2019,8909,,,2093,
11746-2019,11746,2019,9077,,,2085,
11749-2019,11749,2019,10993,,,2455,
11752-2019,11752,2019,10490,,,2352,
11755-2019,11755,2019,14845,,,3385,
11758-2019,11758,2019,5771,,,1292,
11761-2019,11761,2019,6259,,,1431,
11764-2019,11764,2019,6043,,,1363,
11770-2019,11770,2019,4445,,,962,
11773-2019,11773,2019,5719,,,1215,
11776-2019,11776,2019,5526,,,1186,
11779-2019,11779,2019,6341,,,1362,
11782-2019,11782,2019,10125,,,2225,
11785-2019,11785,2019,7525,,,1656,
11788-2019,11788,2019,5777,,,1343,
11791-2019,11791,2019,10480,,,2338,
11794-2019,11794,2019,3835,,,866,
11797-2019,11797,2019,6906,,,1475,
11800-2019,11800,2019,7263,,,1590,
11803-2019,11803,2019,6268,,,1475,
11806-2019,11806,2019,5258,,,1332,
11809-2019,11809,2019,10501,,,2350,
11812-2019,11812,2019,4238,,,975,
11815-2019,11815,2019,7250,,,1806,
11821-2019,11821,2019,7868,,,1716,
11824-2019,11824,2019,8434,,,1890,
11827-2019,11827,2019,8425,,,1881,
11830-2019,11830,2019,7804,,,1789,
11833-2019,11833,2019,6887,,,1470,
11836-2019,11836,2019,7121,,,1624,
11839-2019,11839,2019,8066,,,1769,
11842-2019,11842,2019,7482,,,1709,
11845-2019,11845,2019,3803,,,807,
11848-2019,11848,2019,5397,,,1146,
11851-2019,11851,2019,6448,,,1378,
11854-2019,11854,2019,6934,,,1544,
11857-2019,11857,2019,6002,,,1312,
11860-2019,11860,2019,5733,,,1264,
11863-2019,11863,2019,5458,,,1197,
11866-2019,11866,2019,4392,,,881,
11869-2019,11869,2019,3602,,,759,
11872-2019,11872,2019,7112,,,1526,
11875-2019,11875,2019,6566,,,1386,
11878-2019,11878,2019,4083,,,886,
11881-2019,11881,2019,5590,,,1188,
11884-2019,11884,2019,5295,,,1163,
11887-2019,11887,2019,6702,,,1400,
11890-2019,11890,2019,7466,,,1598,
11893-2019,11893,2019,5678,,,1199,
11896-2019,11896,2019,3128,,,595,
11899-2019,11899,2019,6520,,,1421,
11902-2019,11902,2019,7325,,,1566,
11905-2019,11905,2019,4588,,,929,
11908-2019,11908,2019,3537,,,744,
11911-2019,11911,2019,6801,,,1370,
11914-2019,11914,2019,12054,,,3087,
11917-2019,11917,2019,6093,,,1279,
11920-2019,11920,2019,2318,,,548,
11923-2019,11923,2019,1330,,,347,
11926-2019,11926,2019,1714,,,407,
