,ma_xa,nam_quan_ly,tong_ds,tong_dien_tich,grdp_bq_theo_gia_hh,pn_15_49,tuoi_tho_bq
17734-2019,17734,2019,7768,,,1810,
17737-2019,17737,2019,6163,,,1393,
17743-2019,17743,2019,8116,,,1784,
17749-2019,17749,2019,5662,,,1287,
17752-2019,17752,2019,4742,,,1075,
17755-2019,17755,2019,5358,,,1186,
17758-2019,17758,2019,5976,,,1376,
17759-2019,17759,2019,5875,,,1595,
17761-2019,17761,2019,5997,,,1357,
17764-2019,17764,2019,7253,,,1654,
17767-2019,17767,2019,6801,,,1479,
17770-2019,17770,2019,6318,,,1470,
17773-2019,17773,2019,5831,,,1423,
17776-2019,17776,2019,4662,,,1076,
17779-2019,17779,2019,4713,,,994,
17782-2019,17782,2019,5994,,,1306,
17785-2019,17785,2019,6772,,,1421,
17788-2019,17788,2019,5590,,,1381,
17791-2019,17791,2019,10177,,,2344,
17794-2019,17794,2019,4380,,,944,
17797-2019,17797,2019,6033,,,1430,
17800-2019,17800,2019,4332,,,946,
17803-2019,17803,2019,5735,,,1253,
17806-2019,17806,2019,5617,,,1319,
17809-2019,17809,2019,4154,,,902,
17812-2019,17812,2019,5082,,,1196,
17815-2019,17815,2019,6410,,,1515,
17818-2019,17818,2019,7113,,,1647,
17821-2019,17821,2019,9104,,,2047,
17824-2019,17824,2019,5758,,,1355,
17827-2019,17827,2019,6193,,,1499,
17830-2019,17830,2019,11666,,,2822,
17833-2019,17833,2019,8328,,,1990,
17836-2019,17836,2019,4330,,,1035,
17839-2019,17839,2019,5394,,,1363,
17842-2019,17842,2019,5015,,,1214,
17845-2019,17845,2019,6266,,,1571,
17848-2019,17848,2019,9311,,,2377,
17851-2019,17851,2019,6305,,,1623,
17854-2019,17854,2019,12709,,,3145,
17857-2019,17857,2019,4722,,,1166,
17860-2019,17860,2019,7940,,,1916,
17863-2019,17863,2019,7390,,,1812,
17866-2019,17866,2019,7381,,,1704,
17869-2019,17869,2019,5646,,,1337,
17875-2019,17875,2019,6405,,,1540,
17878-2019,17878,2019,5286,,,1299,
17881-2019,17881,2019,5408,,,1259,
17884-2019,17884,2019,5086,,,1280,
17887-2019,17887,2019,5752,,,1396,
17890-2019,17890,2019,6595,,,1672,
17893-2019,17893,2019,9248,,,2206,
17896-2019,17896,2019,6145,,,1476,
17899-2019,17899,2019,8100,,,1949,
17902-2019,17902,2019,9233,,,2269,
17905-2019,17905,2019,10132,,,2582,
17908-2019,17908,2019,9914,,,2390,
17911-2019,17911,2019,8531,,,2087,
17914-2019,17914,2019,8806,,,2139,
17917-2019,17917,2019,9061,,,2294,
17920-2019,17920,2019,12575,,,3023,
17923-2019,17923,2019,6570,,,1677,
17926-2019,17926,2019,9615,,,2381,
17932-2019,17932,2019,4002,,,867,
17935-2019,17935,2019,4441,,,1041,
17938-2019,17938,2019,8439,,,1869,
17941-2019,17941,2019,8501,,,2022,
17944-2019,17944,2019,6392,,,1425,
17947-2019,17947,2019,4231,,,975,
17950-2019,17950,2019,13136,,,3108,
17953-2019,17953,2019,6213,,,1400,
17956-2019,17956,2019,7156,,,1702,
17959-2019,17959,2019,6685,,,1512,
17962-2019,17962,2019,8831,,,1905,
17968-2019,17968,2019,3991,,,858,
17971-2019,17971,2019,12970,,,2988,
17977-2019,17977,2019,4626,,,1008,
17980-2019,17980,2019,8019,,,1693,
17983-2019,17983,2019,6328,,,1426,
17986-2019,17986,2019,12236,,,2888,
17989-2019,17989,2019,2741,,,570,
17998-2019,17998,2019,8581,,,1830,
18001-2019,18001,2019,9660,,,2312,
18004-2019,18004,2019,9969,,,2461,
18007-2019,18007,2019,7426,,,1823,
18008-2019,18008,2019,5673,,,1366,
18010-2019,18010,2019,11662,,,2913,
18013-2019,18013,2019,7967,,,1939,
18016-2019,18016,2019,8409,,,2066,
18019-2019,18019,2019,4594,,,1046,
18022-2019,18022,2019,4969,,,1250,
18025-2019,18025,2019,7266,,,1613,
18028-2019,18028,2019,5141,,,1234,
18031-2019,18031,2019,4219,,,983,
18034-2019,18034,2019,4162,,,968,
18037-2019,18037,2019,3862,,,888,
18040-2019,18040,2019,4393,,,999,
18043-2019,18043,2019,5882,,,1312,
18052-2019,18052,2019,4465,,,1028,
18055-2019,18055,2019,4282,,,995,
18064-2019,18064,2019,1774,,,364,
18070-2019,18070,2019,7894,,,2078,
18073-2019,18073,2019,7507,,,1858,
18076-2019,18076,2019,9964,,,2405,
18077-2019,18077,2019,6691,,,1703,
18079-2019,18079,2019,6861,,,1625,
18082-2019,18082,2019,6227,,,1582,
18085-2019,18085,2019,6513,,,1683,
18088-2019,18088,2019,10191,,,2431,
18091-2019,18091,2019,8264,,,2041,
18094-2019,18094,2019,8648,,,2143,
18097-2019,18097,2019,4084,,,1019,
18100-2019,18100,2019,6737,,,1531,
18103-2019,18103,2019,3227,,,679,
18109-2019,18109,2019,4063,,,926,
18112-2019,18112,2019,2798,,,606,
18115-2019,18115,2019,9269,,,2128,
18118-2019,18118,2019,8887,,,2046,
18121-2019,18121,2019,5293,,,1154,
18124-2019,18124,2019,6108,,,1371,
18127-2019,18127,2019,5002,,,1160,
18130-2019,18130,2019,3783,,,849,
18133-2019,18133,2019,9768,,,2174,
18136-2019,18136,2019,4269,,,965,
18139-2019,18139,2019,3466,,,721,
18142-2019,18142,2019,5644,,,1201,
18145-2019,18145,2019,2646,,,575,
18148-2019,18148,2019,3698,,,758,
